id,units,hours,gender,year
1,12,25,F,Senior
2,16,37,F,Junior
3,12,7,M,Senior
4,12,7,F,Sophomore
5,21,19,F,Sophomore
6,15,10,F,Senior
7,15,35,F,Junior
8,12,9,M,Sophomore
9,16,30,F,Junior
10,14,20,M,Senior
11,23,20,M,Sophomore
12,13,30,M,Senior
13,16,30,F,Junior
14,16,25,F,Junior
15,16,25,F,Senior
16,18,40,F,Sophomore
17,17,45,F,Senior
18,18,30,F,Senior
19,18,41,F,Senior
20,20,45,F,Sophomore
21,13,14,F,Sophomore
22,14,10,M,Junior
23,12,15,F,Junior
24,13,22,M,Sophomore
25,18,45,M,Junior
26,16,12,M,Junior
27,16,25,F,Junior
28,14,25,F,Junior
29,17,29,F,Senior
30,17,17,M,Senior
31,16,40,M,Sophomore
32,17,35,F,Sophomore
33,12,23,F,Junior
34,15,35,F,Junior
35,14,25,M,Senior
36,12,50,F,Junior
37,15,35,F,Junior
38,16,45,F,Senior
39,16,25,F,Senior
40,18,17,F,Senior
41,13,15,F,Senior
42,15,29,M,Senior
43,14,35,F,Senior
44,23,10.5,M,Senior
45,16,25,F,Senior
46,18,23,F,Senior
47,18,15,M,Senior
48,18,55,F,Senior
49,18,55,F,Senior
50,12,13,F,Junior
51,14,11,M,Senior
52,14,11,M,Senior
53,15,25,F,Junior
54,18,32,F,Senior
55,12,33,F,Junior
56,12,15,M,Senior
57,13,17,M,Senior
58,17,35,F,Junior
59,24,45,F,Sophomore
60,13,30,M,Senior
61,15,20,M,Junior
62,16,37,M,Senior
63,15,35,F,Senior
64,18,22,F,Senior
65,16,15,M,Junior
66,17,20,M,Senior
67,12,25,F,Junior
68,12,25,F,Junior
69,15,35,M,Junior
70,16,25,M,Senior
71,16,25,F,Junior
72,18,25,F,Junior
73,12,25,F,Junior
74,14,25,M,Senior
75,12,20,F,Junior
76,21,15,M,Senior
77,17,20,F,Senior
78,14,16,M,Junior
79,19,15,F,Senior
80,14,25,M,Senior
81,17,17,M,Senior
82,17,19,F,Junior
83,13,11,M,Senior
84,12,19,M,Junior
85,14,25,F,Senior
86,16,31,F,Senior
87,13,28,M,Sophomore
88,14,33,F,Sophomore
89,16,20,F,Sophomore
90,16,30,F,Senior
91,14,25,F,Senior
92,16,21,F,Junior
93,12,55,F,Senior
94,16,25,F,Junior
95,13,15,F,Senior
96,17,12,M,Senior
97,14,13,M,Junior
98,12,25,F,Senior
99,16,15,M,Senior
100,13,20,F,Junior
101,16,15,M,Junior
102,14,35,F,Senior
103,13,15,M,Junior
104,13,15,M,Sophomore
105,12,21,F,Junior
106,12,35,F,Sophomore
107,18,23,F,Sophomore
108,18,30,F,Junior
109,12,11,M,Senior
110,17,15,M,Senior
